严重程度,缺陷 ID,文件路径,步骤数,缺陷名称,缺陷描述,结论状态,AI验证状态
中危,#18f97e10-a773-4085-b432-ea901284a1b7,pyart/io/nexrad_level3.py,0,Unvalidated radial/gate counts drive allocation and silent buffer truncation in Level III parser,"_read_symbology_block 直接从不可信文件的径向数据包头中读取 nradials 与 nbins，并无任何合理上限地分配 np.empty((nradials, nbins))，可造成无上限分配型拒绝服务。在 packet_code==16 分支中，当剩余字节少于 nbins 时 np.frombuffer(buf2[pos:pos+nbins]) 会静默截断，使赋给 radial[:] 的数组形状不符，NumPy 抛出未捕获的 ValueError；更隐蔽的是，若截断后长度恰好匹配，则其余距离门保持未初始化。RLE 分支将头部 nbytes 乘以 2 而未检查缓冲区长度。所有这些路径都会让畸形 Level III 产品中断或污染读取过程。",已确认,已验证
中危,#8227a7a4-cccd-4b92-bbab-b9719c5d684c,pyart/io/nexrad_level3.py,0,IndexError on empty radial list and unbounded allocation in Level III packet-28 parser,_read_symbology_block_28 在未确认是否存在已解码径向的情况下直接对 radials[0] 取下标。精心构造的 176 号产品文件若其 XDR 组件列表为空（或 'components' 字典畸形），将抛出未捕获的 IndexError；而较大的 nradials/nbins 会在第 286 行触发未校验的分配。包头中的 num_bytes 也用于切片缓冲区却未验证其是否越界，因此过短的缓冲区会被静默传给 XDR 解析器并产生 EOFError/ValueError。这些都是在对攻击者提供的文件调用 read_nexrad_level3 时可达的畸形输入健壮性缺陷。,已确认,已验证
中危,#b9467231-61e0-49b6-ba2a-766f71a1c342,pyart/io/mdv_common.py,0,Unbounded array allocation from MDV field header dimensions,read_a_field 完全依据所解析文件的字段头中的 nx/ny/nz 整数来设定输出数组大小。三者均为 32 位有符号值，因此精心构造的 MDV 文件可请求高达 (2^31)^3 个元素的分配。NumPy 会在读取任何数据前抛出 MemoryError（或进程被 OOM 杀死），使攻击者能够轻易触发拒绝服务。同一个 nz 还会传入 _get_levels_info，后者构造包含 2*nz 个整数的 struct 格式串并对远小于 calcsize(fmt) 的读取调用 struct.unpack，从而抛出 struct.error。代码未将头部维度与文件实际大小或主头中的 max_nx/max_ny/max_nz 进行任何关联约束。,已确认,已验证
中危,#f56fc438-f96e-4b48-b12e-82563dc9aee7,pyart/io/nexrad_level2.py,0,Unbounded bz2 decompression of NEXRAD records (decompression bomb DoS),当 NEXRAD Level II 文件的压缩记录标记为 bzip2 时，代码会把整个负载完整解压到内存中，且没有任何大小限制。bz2 的压缩比极高，因此一个很小的构造文件就能膨胀到数 GB，耗尽进程内存并导致宿主崩溃。循环还会解压所有串联的 bz2 成员，攻击者可重复构造负载以放大影响。该方法可经 NEXRADLevel2File.__init__ 直接被 pyart.io 读取不可信文件时触发。,已确认,已验证
低危,#268283e9-28f9-4191-9da2-a8b24bcbdc9e,pyart/io/sigmet.py,0,sigmet time-ordering helper dereferences dict_keys view causing TypeError (DoS),该辅助函数使用 metadata.keys()[0]，而同类的其他函数正确使用了 list(metadata.keys())[0]（见 _is_time_ordered_by_reversal L512）。在 Python 3 中 dict_keys 不支持下标，因此任何缺少扩展头的 Sigmet 文件在调用方请求顺序时间排序时都会触发未捕获的 TypeError 并中止读取。是否走 XHDR 分支取决于文件内容，攻击者可用普通（无扩展头）文件强制进入失败路径。,仅初筛,未验证
中危,#7a67cb90-b2ca-4a8e-8638-ce2d36395040,pyart/io/cfradial.py,0,cfradial variable-gate repack indexes field data with unvalidated ray_n_gates/ray_start_index (DoS),在使用可变门约定的 CF/Radial 文件中，每条射线的门数与起始索引直接取自文件，并同时决定目标行索引与源切片。若 ray_n_gates 的条目数超过 'time' 维长度、门数超过 'range' 维、或 idx+gates 超过扁平字段数据的长度，赋值将抛出 IndexError/ValueError（numpy 切片形状不一致）。这会成为未捕获异常并中止文件读取，对任何处理不可信 CF/Radial 数据的消费者构成拒绝服务。,已确认,已验证
中危,#9b7666c9-3221-4421-9cab-0608d35cd324,pyart/io/sband_radar.py,0,sband_radar get_data writes file-controlled ngates without bound clamp (DoS),"与等价的 NEXRAD 读取器（nexrad_level2.py:534 使用 min(msg[moment]['ngates'], max_ngates, len(msg[moment]['data']))）不同，S 波段读取器赋值时未做任何钳制。由于 ngates 与 frombuffer 切片长度都来自文件头字段，构造文件只要让后续消息声明的门数大于 max_ngates（或指针/数据被截断），就会使切片与视图形状不一致，抛出 ValueError/IndexError 并中止读取。当 max_ngates 仅由第一条射线计算时，后续任意一条 ngates 更大的射线即可触发该失败。",已确认,已验证
中危,#c73c453b-2f27-4bf3-a643-97df33eb4702,pyart/io/nexrad_level2.py,0,MSG31 data block name ASCII decode and pointer unpacking unvalidated (DoS),数据块由文件中的指针选定，但三个名称字节和指针本身都未校验。非 ASCII 的名称字节（0x80-0xFF 任意值）会使 .decode('ascii') 抛出 UnicodeDecodeError；同样，指针大于缓冲区会使随后的 _unpack_from_buf 在过短的切片上抛出 struct.error。这些异常均未被捕获，构造的 NEXRAD 文件即可使读取器崩溃。此外当 ptr2+ngates*2 超出缓冲区时 np.frombuffer 会静默截断，产生比声明的 ngates 更短的数据数组（下游长度假设依赖于此）。,已确认,已验证
中危,#f89e9ef1-a9c4-46f7-a3f8-ca20bece35f4,pyart/io/nexrad_level2.py,0,Unvalidated MSG31 size header and block pointers cause uncaught struct.error (DoS),消息长度字段直接取自文件并转换为记录长度，既未校验下界，也未校验缓冲区剩余长度。将 size 设为 0 或 1 会得到负的 msg_size，从而产生空/被截断的 mbuf，随后对 MSG_31 执行 struct.unpack 便抛出 struct.error。由于调用方仅对消息类型 5 捕获该异常，异常会从解析循环逃逸并终止整个读取。同样未校验的 block_pointer（最大 65535）随后被传入 _get_msg31_data_block，越界指针同样触发 struct.error。单个构造文件即可稳定使读取它的应用崩溃。,已确认,已验证
低危,#107f5054-955c-4fc5-b18d-125c37269013,pyart/io/uffile.py,0,Signed UF record length allows negative read size and whole-file buffering,UF 记录分帧使用来自文件的带符号 16 位 record_length 并乘以 2，却没有校验所得 record_size 是否至少等于已消费的头部长度。当其更小时，`bytes_to_read` 为负数，`fobj.read(负数)` 会把整个剩余文件读入内存作为一条“记录”。随后该记录交给 UFRay，而其必选头部偏移同样来自文件，因此解析器被攻击者可控的值引导。具体影响是内存放大与畸形解析崩溃（拒绝服务），而非内存破坏——因为未校验的偏移只用于索引 Python bytes 切片和 struct.unpack，二者在长度不符时都会抛错。,仅初筛,未验证
低危,#376b4c84-5350-4125-aa27-8f5e38e2eb8a,pyart/io/chl.py,0,Signed block length in CHL reader causes unbounded file read and parse cursor corruption,CHL 读取器的块分帧完全由文件中的带符号 32 位 length 字段驱动，却没有校验 `length >= 8`（块头长度）。当 `length - 8` 为 0 或负数时，`self._fh.read(...)` 会返回整个剩余文件而不是所声明的块，于是按块分帧的结构崩溃：下一轮循环会从并不对应任何真实块边界的位置继续读取块头。结合 ChlFile.__init__ 中宽松的 `while packet is not None` 循环（chl.py:274-277），伪造文件可把解析器驱往任意偏移。直接后果是内存放大（整个文件被一次性缓冲）与解析错乱/拒绝服务；由于 payload 随后交给 struct.unpack 并在长度不符时抛错，它属于分帧完整性缺陷而非内存安全缺陷。,仅初筛,未验证
中危,#e756f469-3419-4605-98e4-5402ea3a3b54,pyart/io/C98DRadFile.py,0,Unvalidated signed moment length in C98D reader drives buffer slice and cursor advance,C98D 读取器直接从文件头取得矩数据块长度，既用它确定 numpy 缓冲区读取大小，又用它推进解析游标，完全没有针对剩余缓冲区做边界校验。由此产生三种可利用后果：(a) 若 `leng` 大于剩余字节数，Python 切片会把 `buf[self.pos:self.pos+leng]` 静默截断，但传给 np.frombuffer 的 `count=leng` 仍然是原值，于是抛出 ValueError 并终止整个读取（未捕获的拒绝服务）；(b) 若 `leng` 为哨兵负值 -1，np.frombuffer 会把 count=-1 解释为“读到缓冲区末尾”，造成与文件大小成正比的内存放大；(c) 由于 `self.pos += leng` 在所有未抛错的路径上都使用同一不可信值，负的 `leng` 会使游标回退，随后的矩/径向头将从文件内任意攻击者选定的偏移处解析，可能驱使 __init__ 中的外层 `while 1` 循环（C98DRadFile.py:65-92）反复错位解析，直到 KeyError/struct.error 终止。整个解析过程的每个字段都源自原始文件字节，即攻击者可控来源。,已确认,已验证
致命,#ed8eb08a-e3bb-4fd8-9bd7-504745ac835b,pyart/io/output_to_geotiff.py,0,OS Command Injection via unquoted filename in gdalwarp os.system call,write_grid_geotiff() 是 pyart.io 的公开 API。当 warp=True 时它通过 os.system() 调用外部程序 gdalwarp。输出文件名由调用方提供，并被直接拼接进 shell 命令行，完全没有引号包裹或转义。use_doublequotes 参数只决定包裹 SRS 投影参数用双引号还是单引号，绝不会包裹、转义或校验 ofile。只要文件名含有 shell 元字符（;、&、|、$(...)、反引号，或用于逃逸 SRS 参数的引号），即可以进程权限执行任意操作系统命令。在任何允许用户指定栅格导出文件名的部署中，这等同于远程代码执行。,已确认,已验证
高危,#21f7327f-de84-4f0c-aa26-d00932216b6b,pyart/retrieve/_kdp_proc.c,0,Out-of-bounds memoryview read in lowpass_maesaka_term when ray has fewer than 3 gates,"lowpass_maesaka_term 使用了 @cython.boundscheck(False) 与 @cython.wraparound(False) 编译，生成的 C 代码中完全没有任何下标边界检查。该函数计算二阶距离导数的边界处理假定每条射线至少包含三个距离库：g == 0 分支无条件读取 k[r, g+1] 与 k[r, g+2]，最后的 else 分支（g == ng-1）读取 k[r, g-1] 与 k[r, g-2]。当 ng < 3（尤其是 ng == 1 或 ng == 2）时，这些下标越过该行末尾，或者因为禁用了 wraparound 而变成指向缓冲区之前的负偏移指针。ng 直接取自 k.shape[1]，即雷达体扫的每射线距离库数，该值来自输入的雷达文件，因此其可信度完全取决于该文件。攻击者构造的、每射线距离库少于 3 个的雷达文件会使循环读取 NumPy 缓冲区相邻的堆内存。这属于内存安全缺陷：可导致解释器崩溃（拒绝服务），并可能把越界的堆内容泄漏到反演得到的 KDP 结果中。函数自身的契约（ng = k.shape[1]）允许 ng = 0、1、2，因此不存在上游对 ng 的钳制。",已确认,已验证
高危,#29123787-32c0-4821-9253-f27a23ae9a46,pyart/retrieve/_kdp_proc.c,0,Out-of-bounds memoryview read in lowpass_maesaka_jac when ray has fewer than 4 gates,"lowpass_maesaka_jac 是低通滤波器的雅可比对应函数，同样以 @cython.boundscheck(False) 与 @cython.wraparound(False) 编译。其差分模板有六个边界分支，下标运算范围 g-2 至 g+2，只有在 ng >= 4 时才成立。当 ng == 3 时，第 18674 行的 g == 2 分支读取 d2kdr2[r, g+1]（下标 3）越过该行末尾；当 ng == 2 时，第 18729 行的 g == 1 分支读取下标 2；当 ng == 1 时，第 18763 行的 g == 0 分支读取下标 1。由于边界检查被编译期移除，这些都是对 NumPy 缓冲区相邻堆内存的真实越界读取。ng 来自输入雷达体扫的距离库数量，即来自不可信的文件内容，而函数参数契约（ng = d2kdr2.shape[1]）允许包括 1 至 3 在内的任意取值。其影响是进程崩溃（拒绝服务），并可能通过返回的梯度数组泄漏越界的堆数据。",已确认,已验证
中危,#3b55ab9e-cf83-464a-8584-86768f7b1f4e,pyart/io/nexrad_archive.py,0,"Unvalidated file-header gate count reaches NEXRAD interpolation kernel, allowing out-of-range array indexing (crash)","`read_nexrad_archive` 依据 `_find_range_params` 计算数据数组尺寸，而该函数在遍历每个时刻（moment）时**仅取每个扫描 `ngates` 列表的下标 0**（nexrad_archive.py:294 `ngates = scan_params[""ngates""][0]`）。当构造的文件使靠后的时刻拥有比下标 0 更大的 `ngates` 时，`max_ngates`（即 `len(_range['data'])`，第 215 行）会低估该时刻的真实门数。插值分支随后在第 243 行直接从文件读取 `moment_ngates = scan_info[scan][""ngates""][idx]`，且从未校验 `moment_ngates <= mdata.shape[1]`，便将其传入 `_interpolate_scan` 并最终进入 Cython 内核。`_fast_interpolate_scan_4` 中的 `for i in range(moment_ngates): gate_val = data[ray_num, i]` 以及写回循环 `for i in range(interp_ngates): data[ray_num, i] = scratch_ray[i]`（其中 `interp_ngates = 4 * moment_ngates`）会对 `data` 内存视图和 `scratch_ray`（在 nexrad_archive.py:343 按 `np.empty((data.shape[1],))` 分配）以可能超出其长度的偏移进行索引。由于 `nexrad_interpolate.pyx` 未启用 `@cython.boundscheck(False)`，其后果表现为未捕获的 `IndexError` 中断读取（拒绝服务）而非静默堆溢出；但这意味着库的内存安全完全依赖一个未在模块内声明的 Cython 全局设置，一旦日后加上项目其他内核普遍使用的 `boundscheck(False)` 注解，即会演变为越界写。`start`/`end` 同样来自文件派生的扫描下标（第 244-245 行）并被不加校验地传入 `range(start, end+1)`。",已确认,已验证
中危,#86ab7a5f-effc-4795-bdbc-36f3749fbaed,pyart/io/sband_archive.py,0,File-header validation implemented with Python assert statements (stripped under -O) in S-band scan-interpolation selection,"`_find_scans_to_interp` 使用 Python `assert` 语句校验来源于二进制雷达文件的 gate spacing 与 first gate 数值，存在两个问题：(1) `assert` 是调试手段而非输入校验，在 `python -O`（或 `PYTHONOPTIMIZE=1`）下会被从字节码中剥离，此时门间距既非基准间距 1/4 也非 1/2 的畸形文件不会被拒绝，而是被静默送入插值流程；(2) 在启用 assert 时，畸形文件或仅由浮点表示差异导致的不一致会抛出未捕获的 `AssertionError`，使整个读取过程中断。对照实现 `nexrad_archive.py:327-332` 针对同一条件显式抛出 `ValueError(""Gate spacing is neither 1/4 or 1/2"")`，可见 S 波段版本属于实现不一致而非有意设计。影响为拒绝服务（未处理异常终止读取），以及在 -O 情况下唯一的合法性检查失效，使不一致的 `moment_ngates` 直接进入插值例程。",已确认,已验证
低危,#bf4710f8-dfbd-49d0-8d2c-eea31962da7f,pyart/io/xband_native.py,0,Uninitialized heap memory returned as radar field data when a ray's moment code is absent in experimental X-band reader,"`_read_volume` 使用 `np.empty((nrays, ngates))` 分配输出场（第 232 行），但填充时遍历的是**经过过滤的** `frames` 列表——只有声明 `data_type` 字节等于字典键的帧才能通过第 229 行 `item[0] == code` 的过滤。一旦某条射线的时刻块携带的 `data_type` 与 `code` 不匹配（例如 `data_type = 0`，或六个合法码中非当前的码），该射线的行就会被跳过且永远不会被写入。由于数组来自 `np.empty`，未写入的行保留该堆位置原有的内容，这些原始 float32 字节会随 `radar.fields[name]['data']` 返回给调用方。因此构造的文件可导致泄露进程内无关内存（同一解释器先前的分配），并被下游代码持久化或绘图。由于字节被解释为 float32（通常为 NaN/非规格化数），影响有限，但属于典型的未写入缓冲区泄露，应当修复。另需注意该函数未校验 `nrays`/`ngates` 非零，因此声明 `ngates < 2` 的文件会进入 `_radar_from_arrays`，在第 109-110 行的 `ranges[1]`/`ranges[0]` 处抛出 `IndexError`。",仅初筛,未验证
低危,#0e8f8c11-edde-4dc9-9c08-23062b51f94e,pyart/map/_gate_to_grid_map.c,0,Unvalidated float-to-int conversion of grid index bounds in find_min/find_max,find_min 与 find_max 将坐标偏移除以 step 后直接转换为 C 的 int 类型，且没有任何范围检查。当 grid_steps 取值极小（非零）时，商可能超过 INT_MAX，这在 C 中属于浮点转整型的未定义行为（实际可能得到 INT_MIN，从而以不一致的方式绕过 <0 与 >na-1 的钳制）。另外，当 step == 0 时两个函数都静默返回 0，将搜索窗口坍缩到索引 0，掩盖了网格配置错误而非报错。后续钳制能约束常见情形，因此该问题严重性较低（健壮性/未定义行为），但它与无边界检查的网格写入位于同一执行路径上。,仅初筛,未验证
中危,#4f04a80a-a1ae-434f-9de0-aa3e1d85d57e,pyart/map/_gate_to_grid_map.c,0,"Out-of-bounds read of h_factor in DistBeamRoI.get_roi (boundscheck disabled, no length validation)","DistBeamRoI.get_roi 使用 h_factor[0]、h_factor[1]、h_factor[2] 三个分量计算波束影响半径（pyart/map/_gate_to_grid_map.pyx:137-140）。该方法带有 @cython.boundscheck(False) 和 @cython.wraparound(False) 装饰器，因此生成代码执行三次裸指针读取（h_factor.data + index），没有任何边界检查（C:22168）。DistBeamRoI.__init__ 接收 float[::1] h_factor 并原样保存，从不校验其元素个数是否至少为 3。公开入口 pyart.map.gates_to_grid.map_gates_to_grid 仅在传入纯 float 时才把 h_factor 扩展到长度 3（gates_to_grid.py:125-126）；其他任意长度的元组/列表会被 np.array(...) 转换后原样传入（gates_to_grid.py:123-124, 349-350）。因此调用方只要传入看似自然但长度不足的 h_factor=(1.0, 1.0)（或空元组），就会在每个雷达、每个雷达门上读取到已分配 float 数组之外 4~8 字节，构成堆越界读取。影响为网格/ROI 计算中的内存信息泄露以及潜在崩溃；因不属于写操作，定级为 MEDIUM 而非 HIGH。该路径可直接触发，且只需公开 API 上一个相当普通的用户输入。",已确认,已验证
中危,#a8abf71d-02d2-4062-ba19-34dab8754ac9,pyart/map/ckdtree.c,0,Heap buffer underflow in heap.remove when the heap is empty (query with k=0),heap.remove()（pyart/map/ckdtree.pyx:188-192）无条件执行 `self.heap[0] = self.heap[self.n-1]`。当堆为空（n == 0）时，该语句读取 malloc 缓冲区起始位置之前的一个 heapitem（16 字节，即 heap[-1]），造成堆缓冲区下溢读取，随后将 n 置为 -1。在 __query 中，邻居队列以 `heap(k)` 创建，当 k == 0 时条件 `if neighbors.n==k:` 成立，于是对空堆调用 remove()。紧接着第一条 push 语句会计算 i = n-1 = -1，执行 `self.heap[-1] = item`，即在缓冲区之前进行 16 字节的越界堆写入，破坏堆元数据或相邻对象。`cKDTree.query` 全程未校验 k（从公开方法到 heap() 之间没有任何 `k < 1` 检查），因此该函数自身的参数契约允许这一危险取值。仓库内现有调用方目前传入 k=1（pyart/map/gate_mapper.py:179），但该方法是与 SciPy 兼容的通用公开 API。,已确认,已验证
